,sub1,sub2,sub3,sub4
COMPLEX:INHBA_INHBB,INHBA,INHBB,,
COMPLEX:INHA_INHBA,INHA,INHBA,,
COMPLEX:IL12A_IL12B,IL12A,IL12B,,
COMPLEX:EBI3_IL12A,EBI3,IL12A,,
COMPLEX:IL12A_IL27,IL12A,IL27,,
COMPLEX:IL12B_IL23A,IL12B,IL23A,,
COMPLEX:IL27_EBI3,IL27,EBI3,,
COMPLEX:EBI3_IL27,EBI3,IL27,,
COMPLEX:LAMA1_LAMB1_LAMC1,LAMA1,LAMB1,LAMC1,
COMPLEX:LAMA3_LAMB3_LAMC2,LAMA3,LAMB3,LAMC2,
COMPLEX:NPNT_FRAS1_FREM1,NPNT,FRAS1,FREM1,
COMPLEX:NPNT_FRAS1_FREM2,NPNT,FRAS1,FREM2,
COMPLEX:ACVR1B_ACVR2A,ACVR1B,ACVR2A,,
COMPLEX:ACVR1B_ACVR2B,ACVR1B,ACVR2B,,
COMPLEX:ACVR1C_ACVR2A,ACVR1C,ACVR2A,,
COMPLEX:ACVR1C_ACVR2B,ACVR1C,ACVR2B,,
COMPLEX:AMHR2_BMPR1A,AMHR2,BMPR1A,,
COMPLEX:ACVR1_AMHR2,ACVR1,AMHR2,,
COMPLEX:ITGA5_ITGB1,ITGA5,ITGB1,,
COMPLEX:ITGAV_ITGB3,ITGAV,ITGB3,,
COMPLEX:ITGA1_ITGB1,ITGA1,ITGB1,,
COMPLEX:FPR2_LXA4,FPR2,LXA4,,
COMPLEX:BMPR2_TGFBR1,BMPR2,TGFBR1,,
COMPLEX:BMPR1A_ACVR2A,BMPR1A,ACVR2A,,
COMPLEX:BMPR1A_ACVR2B,BMPR1A,ACVR2B,,
COMPLEX:BMPR1A_BMPR2,BMPR1A,BMPR2,,
COMPLEX:BMPR1B_ACVR2A,BMPR1B,ACVR2A,,
COMPLEX:BMPR1B_ACVR2B,BMPR1B,ACVR2B,,
COMPLEX:BMPR1B_BMPR2,BMPR1B,BMPR2,,
COMPLEX:ACVR1_ACVR2A,ACVR1,ACVR2A,,
COMPLEX:ACVR1_ACVR2B,ACVR1,ACVR2B,,
COMPLEX:ACVR1_BMPR2,ACVR1,BMPR2,,
COMPLEX:ACVRL1_BMPR2,ACVRL1,BMPR2,,
COMPLEX:ACVRL1_ACVR2A,ACVRL1,ACVR2A,,
COMPLEX:ITGAV_ITGB5,ITGAV,ITGB5,,
COMPLEX:ITGAM_ITGB2,ITGAM,ITGB2,,
COMPLEX:ITGAX_ITGB2,ITGAX,ITGB2,,
COMPLEX:ITGA2B_ITGB3,ITGA2B,ITGB3,,
COMPLEX:ITGA2_ITGB1,ITGA2,ITGB1,,
COMPLEX:ITGAE_ITGB7,ITGAE,ITGB7,,
COMPLEX:CNTN1_CNTNAP1,CNTN1,CNTNAP1,,
COMPLEX:CNTN2_CNTNAP2,CNTN2,CNTNAP2,,
COMPLEX:ITGA10_ITGB1,ITGA10,ITGB1,,
COMPLEX:ITGA11_ITGB1,ITGA11,ITGB1,,
COMPLEX:ITGA3_ITGB1,ITGA3,ITGB1,,
COMPLEX:ITGA9_ITGB1,ITGA9,ITGB1,,
COMPLEX:ITGAV_ITGB8,ITGAV,ITGB8,,
COMPLEX:CSF2RA_CSF2RB,CSF2RA,CSF2RB,,
COMPLEX:ITGAV_ITGB1,ITGAV,ITGB1,,
COMPLEX:ITGAV_ITGB6,ITGAV,ITGB6,,
COMPLEX:EGFR_ERBB2,EGFR,ERBB2,,
COMPLEX:ERBB2_ERBB4,ERBB2,ERBB4,,
COMPLEX:ITGAL_ITGB2,ITGAL,ITGB2,,
COMPLEX:ITGA4_ITGB1,ITGA4,ITGB1,,
COMPLEX:ITGA8_ITGB1,ITGA8,ITGB1,,
COMPLEX:ITGA4_ITGB7,ITGA4,ITGB7,,
COMPLEX:ACVR2A_TGFBR1,ACVR2A,TGFBR1,,
COMPLEX:ACVR2B_TGFBR1,ACVR2B,TGFBR1,,
COMPLEX:ACVR2A_ACVRL1,ACVR2A,ACVRL1,,
COMPLEX:ACVR2B_ACVRL1,ACVR2B,ACVRL1,,
COMPLEX:ACVR1B_BMPR2,ACVR1B,BMPR2,,
COMPLEX:GFRA3_RET,GFRA3,RET,,
COMPLEX:GFRA1_RET,GFRA1,RET,,
COMPLEX:GFRA2_RET,GFRA2,RET,,
COMPLEX:GFRA4_RET,GFRA4,RET,,
COMPLEX:PTCH1_SMO,PTCH1,SMO,,
COMPLEX:PTCH2_SMO,PTCH2,SMO,,
COMPLEX:IFNLR1_IL10RB,IFNLR1,IL10RB,,
COMPLEX:IFNAR1_IFNAR2,IFNAR1,IFNAR2,,
COMPLEX:IFNGR1_IFNGR2,IFNGR1,IFNGR2,,
COMPLEX:ITGA6_ITGB4,ITGA6,ITGB4,,
COMPLEX:IL1R1_IL1RAP,IL1R1,IL1RAP,,
COMPLEX:IL1RL2_IL1RAP,IL1RL2,IL1RAP,,
COMPLEX:IL18R1_IL18RAP,IL18R1,IL18RAP,,
COMPLEX:IL1RL1_IL1RAP,IL1RL1,IL1RAP,,
COMPLEX:IL10RA_IL10RB,IL10RA,IL10RB,,
COMPLEX:IL20RA_IL20RB,IL20RA,IL20RB,,
COMPLEX:IL22RA1_IL20RB,IL22RA1,IL20RB,,
COMPLEX:IL22RA1_IL10RB,IL22RA1,IL10RB,,
COMPLEX:IL20RA_IL10RB,IL20RA,IL10RB,,
COMPLEX:IL11RA_IL6ST,IL11RA,IL6ST,,
COMPLEX:IL27RA_IL6ST,IL27RA,IL6ST,,
COMPLEX:IL12RB1_IL12RB2,IL12RB1,IL12RB2,,
COMPLEX:IL12RB2_IL6ST,IL12RB2,IL6ST,,
COMPLEX:IL12RB2_IL27RA,IL12RB2,IL27RA,,
COMPLEX:IL12RB1_IL23R,IL12RB1,IL23R,,
COMPLEX:IL23R_IL12RB1,IL23R,IL12RB1,,
COMPLEX:IL13RA1_IL4R,IL13RA1,IL4R,,
COMPLEX:IL13RA2_IL4R,IL13RA2,IL4R,,
COMPLEX:IL15RA_IL2RB_IL2RG,IL15RA,IL2RB,IL2RG,
COMPLEX:IL15RA_IL2RB,IL15RA,IL2RB,,
COMPLEX:IL17RA_IL17RC,IL17RA,IL17RC,,
COMPLEX:IL17RA_IL17RE,IL17RA,IL17RE,,
COMPLEX:IL17RA_IL17RB,IL17RA,IL17RB,,
COMPLEX:IL2RA_IL2RB_IL2RG,IL2RA,IL2RB,IL2RG,
COMPLEX:IL2RB_IL2RG,IL2RB,IL2RG,,
COMPLEX:IL4R_IL2RG,IL4R,IL2RG,,
COMPLEX:IL7R_IL2RG,IL7R,IL2RG,,
COMPLEX:IL9R_IL2RG,IL9R,IL2RG,,
COMPLEX:IL21R_IL2RG,IL21R,IL2RG,,
COMPLEX:IL7R_CRLF2,IL7R,CRLF2,,
COMPLEX:IL20RB_IL22RA1,IL20RB,IL22RA1,,
COMPLEX:IL10RB_IL22RA1,IL10RB,IL22RA1,,
COMPLEX:IL10RB_IL20RA,IL10RB,IL20RA,,
COMPLEX:CSF2RB_IL3RA,CSF2RB,IL3RA,,
COMPLEX:IL31RA_OSMR,IL31RA,OSMR,,
COMPLEX:IL1RAP_IL1RL1,IL1RAP,IL1RL1,,
COMPLEX:IL1RAP_IL1RL2,IL1RAP,IL1RL2,,
COMPLEX:IL18R1_SIGIRR,IL18R1,SIGIRR,,
COMPLEX:IL2RG_IL4R,IL2RG,IL4R,,
COMPLEX:IL3RA_CSF2RB,IL3RA,CSF2RB,,
COMPLEX:IL5RA_CSF2RB,IL5RA,CSF2RB,,
COMPLEX:IL4R_IL13RA1,IL4R,IL13RA1,,
COMPLEX:IL4R_IL13RA2,IL4R,IL13RA2,,
COMPLEX:CSF2RB_IL5RA,CSF2RB,IL5RA,,
COMPLEX:IL6R_IL6ST,IL6R,IL6ST,,
COMPLEX:IL2RG_IL7R,IL2RG,IL7R,,
COMPLEX:IL2RG_IL9R,IL2RG,IL9R,,
COMPLEX:ITGA6_ITGB1,ITGA6,ITGB1,,
COMPLEX:ITGA7_ITGB1,ITGA7,ITGB1,,
COMPLEX:CD8A_CD8B,CD8A,CD8B,,
COMPLEX:IL6ST_LIFR,IL6ST,LIFR,,
COMPLEX:CNTFR_LIFR,CNTFR,LIFR,,
COMPLEX:KLRD1_KLRC1,KLRD1,KLRC1,,
COMPLEX:KLRD1_KLRC2,KLRD1,KLRC2,,
COMPLEX:KLRD1_KLRC3,KLRD1,KLRC3,,
COMPLEX:CD44_CD74,CD44,CD74,,
COMPLEX:CD74_CXCR4,CD74,CXCR4,,
COMPLEX:CD74_CXCR2,CD74,CXCR2,,
COMPLEX:TGFBR1_ACVR2B,TGFBR1,ACVR2B,,
COMPLEX:FZD9_LRP5,FZD9,LRP5,,
COMPLEX:KLRK1_HCST,KLRK1,HCST,,
COMPLEX:ACVR1B_ACVR2A_CFC1,ACVR1B,ACVR2A,CFC1,
COMPLEX:ACVR1C_ACVR2A_CFC1,ACVR1C,ACVR2A,CFC1,
COMPLEX:ACVR1B_ACVR2B_CFC1,ACVR1B,ACVR2B,CFC1,
COMPLEX:ACVR1C_ACVR2B_CFC1,ACVR1C,ACVR2B,CFC1,
COMPLEX:ERBB2_ERBB3,ERBB2,ERBB3,,
COMPLEX:IL6ST_OSMR,IL6ST,OSMR,,
COMPLEX:FLT1_KDR,FLT1,KDR,,
COMPLEX:LGR5_LRP5,LGR5,LRP5,,
COMPLEX:NRP1_PLXNA1,NRP1,PLXNA1,,
COMPLEX:NRP1_PLXNA2,NRP1,PLXNA2,,
COMPLEX:NRP1_PLXNA3,NRP1,PLXNA3,,
COMPLEX:NRP1_PLXNA4,NRP1,PLXNA4,,
COMPLEX:NRP2_PLXNA1,NRP2,PLXNA1,,
COMPLEX:NRP2_PLXNA2,NRP2,PLXNA2,,
COMPLEX:NRP2_PLXNA3,NRP2,PLXNA3,,
COMPLEX:NRP2_PLXNA4,NRP2,PLXNA4,,
COMPLEX:NRP1_NRP2,NRP1,NRP2,,
COMPLEX:MET_PLXNB1,MET,PLXNB1,,
COMPLEX:MET_PLXNB3,MET,PLXNB3,,
COMPLEX:KDR_PLXNA1,KDR,PLXNA1,,
COMPLEX:PLXNA1_TREM2,PLXNA1,TREM2,,
COMPLEX:ITGB1_ITGA1,ITGB1,ITGA1,,
COMPLEX:TGFBR1_TGFBR2,TGFBR1,TGFBR2,,
COMPLEX:ACVR1B_TGFBR2,ACVR1B,TGFBR2,,
COMPLEX:ACVR1C_TGFBR2,ACVR1C,TGFBR2,,
COMPLEX:CRLF2_IL7R,CRLF2,IL7R,,
COMPLEX:ITGAD_ITGB2,ITGAD,ITGB2,,
COMPLEX:FLT4_KDR,FLT4,KDR,,
COMPLEX:GP1BA_GP1BB_GP5_GP9,GP1BA,GP1BB,GP5,GP9
COMPLEX:FZD1_LRP5,FZD1,LRP5,,
COMPLEX:FZD10_LRP5,FZD10,LRP5,,
COMPLEX:FZD2_LRP5,FZD2,LRP5,,
COMPLEX:FZD3_LRP5,FZD3,LRP5,,
COMPLEX:FZD4_LRP5,FZD4,LRP5,,
COMPLEX:FZD5_LRP5,FZD5,LRP5,,
COMPLEX:FZD6_LRP5,FZD6,LRP5,,
COMPLEX:FZD7_LRP5,FZD7,LRP5,,
COMPLEX:FZD8_LRP5,FZD8,LRP5,,
COMPLEX:FZD1_LRP6,FZD1,LRP6,,
COMPLEX:FZD10_LRP6,FZD10,LRP6,,
COMPLEX:FZD2_LRP6,FZD2,LRP6,,
COMPLEX:FZD3_LRP6,FZD3,LRP6,,
COMPLEX:FZD4_LRP6,FZD4,LRP6,,
COMPLEX:FZD5_LRP6,FZD5,LRP6,,
COMPLEX:FZD6_LRP6,FZD6,LRP6,,
COMPLEX:FZD7_LRP6,FZD7,LRP6,,
COMPLEX:FZD8_LRP6,FZD8,LRP6,,
COMPLEX:FZD9_LRP6,FZD9,LRP6,,
